,keyphrase,keyphrase in _ plans
13375,regeneration,12
11465,annual basis,12
14157,significant,12
13781,council policies,12
14742,climate adaptation,12
12005,offer,12
890,change adaptation,12
15567,carbon sequestration,12
10799,installation,12
8090,saving measures,11
10657,change partnership,11
12775,greenhouse gas,11
6517,planting trees,11
4870,providing,11
6356,behavioural change,11
14189,council environmental,11
12165,annual,11
9766,benefits,11
9165,energy generation,11
11746,council estate,11
3691,adapting,11
1893,key stakeholders,11
964,ecological emergency,11
2183,uk electricity,11
7990,feasibility study,11
10129,anaerobic digestion,11
15616,framework,11
10788,environment bill,11
10815,biodiversity net,11
7787,step change,11
7848,declaration,11
10590,pathway,11
7508,carbon budget,11
2148,community engagement,11
9793,review,11
4878,pandemic,11
8875,increase recycling,11
12855,supporting,11
3805,change policy,11
8566,change research,10
2572,tonnes carbon,10
3161,modelling,10
11504,retrofit programme,10
5710,indirect emissions,10
3015,business travel,10
9702,greenhouse gases,10
7086,objectives,10
7827,ecosystem services,10
6652,operational buildings,10
9555,foreword,10
5028,climate strategy,10
11910,build resilience,10
3037,clean growth,10
12064,carbon offsetting,10
4517,add,10
11799,scope,10
13457,defines,10
14243,external funding,10
7353,carbon energy,10
6185,uk average,10
2795,tackling,10
4911,sectors,10
8048,replacement programme,10
7612,cost savings,10
8169,develop,10
5099,public sector,10
13776,reduction projects,10
12091,cycling infrastructure,10
14954,performance certificate,10
14944,council approach,10
1285,improve,10
6944,service provision,10
6976,well being,10
2623,average temperature,10
10434,energy performance,10
8699,monitoring progress,10
10422,circular economy principles,10
8383,supplementary planning document,10
4721,set,10
522,council plan,9
12873,transport energy,9
15000,resilience,9
7070,dioxide,9
8340,properties,9
1949,change issues,9
8337,baseline,9
10933,active travel options,9
9881,council services,9
14678,reduction plan,9
5132,reduced carbon emissions,9
1159,enabling actions,9
3170,temperature rise,9
856,enhance biodiversity,9
8568,change targets,9
12951,create,9
382,install,9
9827,other indirect,9
10419,sea levels,9
8583,ensuring,9
14255,sustainable transport options,9
3435,strategic approach,9
10670,implementation plan,9
2170,sector,9
3835,upgrading,9
9252,multiple benefits,9
9631,risk assessment,9
4900,priority action,9
9404,average global,9
1135,extreme,9
6116,housing stock,9
11820,end,9
15517,well,9
774,councils carbon,9
14507,urgent action,9
6984,councils emissions,9
52,policy framework,9
11780,planning policy,9
9521,update report,9
12522,new homes,9
600,develop plan,9
13909,retrofit,9
15171,green recovery,9
11518,developments,9
9559,local enterprise partnership,9
14335,sustainable future,8
1505,emissions council,8
895,enabler,8
3730,continue,8
12766,sustainable procurement,8
3194,mitigate climate,8
8390,global issue,8
13007,target setting,8
10804,reporting,8
11489,additional benefits,8
10409,gases,8
2550,national,8
10900,recycling,8
8298,combined ity,8
5203,walking,8
4105,indirect,8
5330,deal,8
7054,aspects,8
5583,sustainable borough,8
3705,local energy,8
6665,average temperatures,8
1472,co benefits,8
9894,key issues,8
15239,committed,8
13801,resilient,8
3616,sustainability strategy,8
3799,electric charging points,8
14646,photovoltaic panels,8
1185,roadmap,8
4212,annual report,8
7905,conversion factors,8
4096,surface water,8
5813,electricity consumption,8
14415,kilowatt hour,8
6871,ev charging,8
1605,local nature partnership,8
14956,disposal,8
3328,cycling routes,8
9979,climate actions,8
864,environment plan,8
12278,vehicle charging,8
4085,risks,8
6604,sector emissions,8
10887,per cent,8
15161,transport options,8
6599,council net,8
3251,council sustainability,8
8119,emissions data,8
9105,efficiency standards,8
15524,welsh,8
8926,greenhouse,8
13994,climate agreement,8
2767,feasibility studies,8
7691,kent county,8
3880,adaptation measures,8
14029,local plan review,8
13977,efficiency,8
4887,council procurement,8
10040,environment,8
15350,staff travel,8
4597,agile,8
6152,online,8
2158,mitigating climate,8
188,energy use,8
15470,consideration,8
2010,national government,8
5504,carbon offset,8
11040,carbon literacy,8
14713,biodiversity action,7
13122,buildings,7
820,battery storage,7
4963,run,7
12381,change declaration,7
9190,industrial levels,7
6401,methodology,7
3510,retrofit energy,7
5123,procurement,7
1237,scotland,7
10497,management strategy,7
6726,put,7
15038,energy costs,7
3979,climate resilient,7
12861,reporting guidelines,7
10494,low carbon,7
8757,assessment,7
3335,implement,7
11101,aims,7
14145,costs,7
10195,dioxide emissions,7
14330,reduction pathways,7
3121,energy sector,7
8984,ev charge points,7
14101,programme,7
14109,council decision,7
289,propose,7
1580,council needs,7
6640,change duties,7
8654,council staff,7
12403,additional resources,7
8981,council budget,7
3767,assess,7
3937,use change,7
1555,total emissions,7
13853,framework convention,7
14459,natural flood management,7
717,single use plastics,7
13496,temperature,7
13321,energy infrastructure,7
5052,community action,7
641,savings,7
13490,net carbon,7
6069,local flood risk,7
9474,energy usage,7
7372,somerset climate emergency,7
11738,renewable electricity,7
4971,renewable,7
12744,incorporate,7
7229,electric vehicle infrastructure,7
1788,year plan,7
2098,contribute,7
1198,setting process,7
63,emission reductions,7
8194,global temperatures,7
181,uk carbon,7
3387,environment strategy,7
9680,more energy,7
8922,significant reductions,7
12937,surrey county,7
14784,low carbon economy,7
10163,global temperature,7
6317,reduce reuse,7
9274,council role,7
1041,greener,7
5196,literacy training,7
12934,air pollution,7
10025,council action,7
1838,change reporting,7
9032,sustainable travel,7
1853,proportion,7
9242,reduction pathway,7
13418,development goals,7
14206,local air quality,7
14181,carbon dioxide,7
7541,water consumption,7
4318,borough carbon,7
14744,global climate change,7
4293,scientific consensus,7
14745,go,7
7333,solar energy,7
8274,dioxide levels,6
980,use council,6
9287,community energy,6
3753,ecosystems,6
15421,clean air,6
10009,housing strategy,6
12461,resource,6
10741,term actions,6
15123,transport plan,6
12950,industrial strategy,6
3935,green infrastructure strategy,6
4340,scottish government climate,6
7526,integrating,6
10529,carbon initiatives,6
2050,un,6
12019,use energy,6
11025,solar photovoltaic,6
1003,carbon budgeting,6
5,increase tree,6
12981,solar,6
3939,scottish governments,6
8280,current levels,6
5221,renewable energy projects,6
10240,council assets,6
5242,cabinet date,6
10953,building control,6
3441,increase biodiversity,6
7945,mitigating,6
15409,wider borough,6
2290,energy consumption,6
8823,scottish,6
2499,level rise,6
11169,recovery,6
2179,parish councils,6
7257,industrial processes,6
5821,update,6
11253,energy storage,6
14669,environment act,6
2261,solid waste disposal,6
14675,carbon future,6
9914,commuting,6
12116,offset,6
6478,efficiency programme,6
12872,concentrations,6
1617,planting programme,6
8123,london boroughs,6
3372,low carbon heating,6
15475,kyoto protocol,6
10829,climate commitments,6
5148,climate challenge,6
2440,council projects,6
11689,buildings transport,6
13572,change objectives,6
15488,temperature increase,6
1288,hierarchy,6
5582,coral reefs,6
10387,ecological emergency declaration,6
7269,utilities,6
8736,funding streams,6
2415,procurement process,6
703,strategy implementation,6
5314,increased flooding,6
194,cycling strategy,6
10722,other stakeholders,6
11662,council energy,6
165,evaluate,6
6259,one,6
13026,council environment,6
3563,explore options,6
1100,support biodiversity,6
11718,emission,6
6839,produce,6
6755,emissions reporting,6
5717,domestic properties,6
10339,reporting requirements,6
12710,quarterly basis,6
11997,alternatives,6
6454,engagement plan,6
3061,emergency declarations,6
12210,own estate,6
2327,energy transport,6
7120,nature recovery,6
11858,whilst,6
7786,significant changes,6
5409,offers,6
5376,national target,6
4224,energy needs,6
7686,resource requirements,6
11900,deliver,6
7797,local stakeholders,6
2357,low emission vehicles,6
7165,development proposals,6
11993,local renewable,6
14147,local economy,6
1958,investment,6
501,environmental services,6
15556,second,6
504,development plan,6
13632,policy changes,6
7497,minimise waste,6
13880,habitats,6
14184,national adaptation programme,6
10607,green spaces,6
15335,change risk,6
11417,inequalities,5
12088,somerset,5
4785,animal species,5
15031,other councils,5
12003,council properties,5
776,projects,5
778,efficient homes,5
12376,neutral target,5
4508,employee commuting,5
4090,procurement processes,5
6072,strategy climate,5
8901,emissions targets,5
14298,city emissions,5
15268,dependency,5
15011,significant reduction,5
2606,emergency plan,5
7434,borough boundary,5
3332,deployment,5
12191,sustainable design,5
3333,community groups,5
12369,energy savings,5
344,more trees,5
6269,energy hierarchy,5
13460,staff,5
14838,ongoing,5
7615,portfolio holder,5
2245,global climate emergency,5
6782,strategy page,5
8053,council policy,5
4319,low carbon future,5
1342,climate goals,5
11564,natural systems,5
1717,statutory climate change,5
15443,electricity gas,5
10842,climate crisis,5
11838,council vision,5
4839,sustainable modes,5
12279,strategic priorities,5
8083,health impacts,5
2963,balancing,5
733,council reduce,5
2646,undertake,5
740,government target,5
2748,year reduction,5
2853,grounds maintenance,5
962,london borough,5
12339,monitoring,5
15532,organisation,5
8694,planning process,5
13117,additional actions,5
9003,stationary energy,5
7382,key,5
6730,infrastructure strategy,5
14994,report template,5
1119,financial implications,5
10389,change impacts,5
6051,irreversible damage,5
8290,lighting upgrades,5
6378,interim targets,5
11394,local government,5
4349,mileage claims,5
164,change fund,5
8240,current rate,5
13412,low carbon transport,5
1037,total carbon budget,5
13598,encourage staff,5
10398,council priorities,5
12925,budgets,5
2224,local,5
3555,mechanisms,5
6049,renewable heat incentive,5
908,nitrous oxide,5
10597,dioxide equivalents,5
9811,total footprint,5
2472,making processes,5
2473,local climate action,5
13419,cost benefit,5
9681,litter picks,5
7764,severe weather,5
15318,change task,5
4058,efficiency projects,5
8322,low carbon solutions,5
5511,council website,5
2700,blue infrastructure,5
2154,municipal waste,5
9231,carbon reductions,5
10470,see,5
834,corporate priorities,5
14982,council vehicles,5
4696,carbon economy,5
15280,carbon roadmap,5
12947,panel,5
10586,seek funding,5
4326,tree coverage,5
7792,car parks,5
9447,public buildings,5
11601,supplementary planning,5
11603,council ambition,5
9241,total carbon dioxide,5
945,energy sources,5
10824,council scope,5
3886,carbon trust,5
12705,edinburgh,5
13448,transformational change,5
4921,change training,5
1010,cent reduction,5
4147,change carbon,5
1618,local cycling,5
9066,external wall insulation,5
5628,become carbon,5
1681,invasive species,5
8970,human activities,5
7879,energy audits,5
11073,health benefits,5
14125,gap report,5
7980,policy context,5
2399,urgency,5
14363,uk greenhouse,5
13532,scotland climate,5
8672,risk register,5
14067,emergency,5
7643,council tax,5
13896,collaborating,5
12813,efficiencies,5
1450,mitigate,5
12816,national targets,5
6977,document,5
11439,proposals,5
11980,public bodies climate,5
1986,neutral council,5
10854,impact assessments,5
8438,undertake review,5
5718,commitment,5
2002,baseline data,5
13195,running costs,5
10874,uk grid,5
13844,future homes standard,5
8504,leisure centre,5
1621,climate mitigation,5
3934,plan foreword,5
8496,energy measures,5
12221,business plan,5
10547,council waste,5
6222,change plan,5
11529,report templates,5
11531,indicators,5
8466,negative impacts,5
7680,cost,5
7892,sustainable council,5
7940,electrification,5
14385,sustainable communities,5
3129,council plans,5
15146,sustainable forms,5
618,term,5
4225,demand reduction,5
14087,buildings energy,5
9516,local climate,5
5040,sector climate,5
14543,panels,5
4913,nations framework,5
15087,commissioning,5
7227,environmental impact,5
3954,gas reporting,5
10783,civic,5
9961,national policy,5
10696,risk management,5
4259,progress reports,5
11736,wellbeing benefits,5
6957,change officer,5
243,integration,5
11732,transport system,5
7173,weather events,5
8761,council commitments,5
13006,scottish climate change,4
10151,management framework,4
9933,minimise emissions,4
11788,renewable energy tariff,4
10239,figure scope,4
5896,council performance,4
5971,communities organisations,4
14441,large scale projects,4
1850,community organisations,4
5838,staff mileage,4
7045,renewal,4
5786,actions,4
9981,property,4
1063,recovery plans,4
7022,city carbon,4
14238,changing,4
10187,scottish energy strategy,4
13988,consultation feedback,4
14629,solar panel installations,4
14325,fleet mileage,4
11714,woodland cover,4
11715,terms,4
14250,transport network,4
13257,heat pump,4
13990,edinburgh council,4
2587,funding opportunities,4
2940,local government association,4
13039,priorities,4
4580,policy documents,4
7015,green homes,4
11781,temperatures,4
12048,local environment,4
10006,annual cost,4
6048,councils baseline,4
14094,potential,4
5034,public sector organisations,4
6135,county borough,4
1862,community resilience,4
8229,significant impact,4
2603,funding,4
12330,renewable energy installations,4
2893,sustainable economy,4
10909,urban heat island,4
14187,soil,4
10014,mitigation measures,4
3085,transport electricity,4
1372,strategies,4
13445,procurement strategy,4
10879,housing retrofit,4
14051,target,4
9678,reduces,4
7202,targets,4
988,processes,4
10877,export,4
9732,key sectors,4
10131,encourage,4
13300,grant scheme,4
978,public health,4
10026,council activity,4
7352,other measures,4
13301,leisure,4
2652,future generations act,4
6083,plans,4
5894,emissions strategy,4
13962,nature conservation,4
5088,facilitate,4
13901,theme transport,4
12225,greening,4
7029,clean energy,4
2555,leisure facilities,4
13426,cycle storage,4
5829,january,4
3094,woodland trust,4
10415,leisure centres,4
3488,central government,4
7139,cabinet member,4
5834,district,4
14851,heat network,4
14604,policy change,4
9944,community transport,4
4547,transport planning,4
7078,community projects,4
1879,recovery plan,4
10980,water supply,4
2282,minimise,4
8184,building climate,4
14561,nature partnership,4
7818,cycle training,4
9995,electric vehicle,4
1281,economic growth,4
2727,sustainable environment,4
4601,waste hierarchy,4
4896,financial year,4
14653,property portfolio,4
14036,surrey climate,4
3331,reduction actions,4
1682,current council plan,4
9789,weather patterns,4
2402,policy development,4
7433,local energy advice,4
8025,intervention measures,4
3178,domestic buildings,4
10290,plan update,4
6271,total greenhouse gas,4
3301,organisation carbon,4
8093,funding support,4
6103,lighting,4
13096,electric car charging,4
2347,cycling provision,4
11926,new housing developments,4
8117,crematorium,4
1753,other organisations,4
2764,reporting period,4
7715,adaptation programme,4
10334,light fittings,4
4505,delivery plan,4
11077,average,4
12025,different sectors,4
13364,ground maintenance,4
10336,greener borough,4
2882,future homes,4
2129,refreshed,4
10285,emission reduction,4
13110,adaptation actions,4
9407,agriculture forestry,4
1413,freshwater ecosystems,4
11186,potential carbon,4
1750,share schemes,4
5124,youth climate,4
3199,offshore wind,4
9839,agricultural processes,4
2736,financial challenges,4
13366,biodiversity loss,4
11118,electric charging,4
1294,change bill,4
13334,grid electricity,4
6195,significant interventions,4
1916,least reduction,4
11071,local contribution,4
13578,transport waste,4
10862,flooding,4
14261,lobby government,4
10060,term climate,4
3050,equivalent amount,4
11181,climate impacts,4
9639,vulnerable,4
4903,feasibility,4
4835,use plastic,4
14257,energy saving,4
14083,improved air,4
1912,delivering services,4
10371,respondents,4
3394,environmental projects,4
10866,carbon position,4
7794,electric vehicle charge,4
2873,recycle,4
1919,strategic objectives,4
2267,grid,4
13382,data sources,4
14068,residential buildings,4
4850,address fuel,4
11823,fly tipping,4
8146,local nature recovery,4
2958,coming,4
10354,low carbon alternatives,4
6278,task group,4
1930,electric pool,4
7226,warmer,4
14275,waste reduce,4
2115,housing energy,4
9776,literacy,4
2851,functions,4
5954,population,4
2868,electric pool cars,4
2953,tree cover,4
3300,national average,4
8159,key priority,4
1979,region,4
5054,prioritise action,4
13682,cabinet report,4
2487,heat waves,4
580,scatter tool,4
6318,progress report,4
260,measure progress,4
6466,public sector partners,4
6494,emergency response,4
872,national climate change,4
9050,determined contributions,4
15426,optional reporting category,4
15277,change risks,4
15327,uk commitment,4
14962,council work,4
9053,upgrade programme,4
4057,aspiration,4
6398,agenda item,4
6497,energy system,4
5746,planning policies,4
47,outcomes,4
15496,engage,4
884,growth strategy,4
3745,evidence base,4
10773,rolling programme,4
8767,saving,4
6768,international panel,4
6653,transport buildings,4
10681,change committee,4
8307,conservation,4
3550,maintenance programme,4
707,footprint breakdown,4
393,changes,4
8976,cost carbon,4
709,net release,4
3732,building,4
5249,upgrade,4
8476,planning system,4
12694,reflect,4
4043,sustainable tourism,4
12583,operational emissions,4
15306,emissions accounting,4
4205,electric vehicle strategy,4
6521,strategic planning,4
568,briefing,4
10787,private sector,4
9205,agile working,4
11581,business energy,4
3777,sustainable drainage systems,4
3607,clean growth strategy,4
5387,environment action,4
5285,open,4
4156,global sea levels,4
5736,influencing,4
10569,retrofitting,4
62,local transport,4
15008,page foreword,4
12748,building energy,4
15467,project development,4
9085,strategy,4
5545,interventions,4
5689,partnership,4
3824,scope data,4
11595,global emissions,4
5693,performance certificates,4
177,renewable electricity generation,4
15489,climate impact,4
10501,audit,4
236,change agreement,4
840,december,4
11599,staff commuting,4
6737,neutral borough,4
3594,carbon transport,4
3768,new projects,4
3596,carbon baseline,4
756,reduce mileage,4
15043,governance arrangements,4
4078,insulation,4
10474,workshops,4
8467,travel plan,4
5357,efficient buildings,4
8874,change page,4
304,online survey,4
149,extreme weather events,4
11314,hedgerows,4
15093,lighting columns,4
12953,local action,4
9145,legislative requirements,4
6779,fig,4
7,change actions,4
5460,landfill sites,4
11472,alternative,4
12392,integrated transport,4
12655,manage,4
9010,mileage,4
15098,building design,4
8456,fulfil,4
12640,habitat loss,4
12555,resource implications,4
15385,travel options,4
6481,climate breakdown,4
684,water supplies,4
10608,footprint scope,4
8302,further reduction,4
3541,financial savings,4
8824,climate assembly,4
12686,management plans,4
11544,emission baseline,4
8836,additional tree planting,4
13,scoring criteria,4
10439,change commitments,4
5598,warm homes,4
5572,legislation,4
318,procurement decisions,4
5317,flood protection,4
12444,support climate,4
12649,table summary,4
5371,local benefits,3
2172,council contribution,3
12472,council strategies,3
5609,energy systems,3
3171,management projects,3
5692,premature deaths,3
648,us,3
13629,power council,3
12217,planning guidance,3
5056,strategy key,3
9561,build programme,3
7182,offices,3
2166,heating lighting,3
3765,initial action plan,3
9799,system change,3
15184,civic centre,3
649,local carbon,3
1480,operational energy,3
9101,fifth assessment report,3
13581,national electricity grid,3
11948,efficiency improvements,3
6988,outline,3
11127,buffering,3
6405,cleaner air,3
5382,criteria,3
8751,additional funding,3
2254,global greenhouse gas,3
11818,energy supply,3
7603,uk homes,3
5862,partnership approach,3
13216,ambitious target,3
5907,further funding,3
11268,low enabling,3
14365,food prices,3
15208,areas,3
9786,pivotal role,3
4026,other issues,3
6206,bau pathway,3
15528,statutory duty,3
11120,smart energy systems,3
521,hedgerow planting,3
14021,global heating,3
9585,devastating,3
12562,vulnerability assessment,3
14373,climate changes,3
12563,coastal change management,3
10268,reduce pollution,3
538,saving devices,3
8928,environmental outcomes,3
4790,commit,3
2176,reduction action,3
6212,better cycling,3
3987,urban drainage systems,3
10559,prevention,3
10267,citizens assembly,3
13319,consumption data,3
2155,councillors,3
9094,thematic areas,3
3048,related risks,3
9493,activity data,3
3047,gas heating,3
7988,deposit return,3
14000,emergency mitigation,3
9513,half,3
2240,match funding,3
4246,national performance framework,3
10243,ev community,3
2204,pace,3
4613,secure energy supply,3
11410,degrees celsius,3
11345,borough level,3
2687,ambitious climate change,3
10733,own carbon,3
11036,council fleet,3
8479,successful,3
163,single use,3
3108,total carbon footprint,3
7023,power purchase,3
7293,reduce staff,3
7024,borough stakeholders,3
7930,sector organisations,3
5046,live document,3
11535,procurement spend,3
1543,international commitments,3
13260,change projects,3
14466,public sector bodies,3
2672,plan emissions,3
7958,buildings infrastructure,3
13245,carbon plan,3
7569,local organisations,3
7961,distribution losses,3
15145,council transport,3
15149,soil formation,3
6484,quality improvements,3
1509,public sector climate,3
5035,aspect,3
5350,video conferencing,3
156,management transport,3
3148,carbon borough,3
9133,associated carbon emissions,3
14461,local community organisations,3
7970,total,3
1678,economic activity,3
7295,assessments,3
14437,energy conservation,3
1593,forthcoming environment bill,3
1594,national government policy,3
13288,gas electricity,3
2701,single definition,3
5696,categories,3
13290,soils,3
13291,sustainable scotland network,3
10057,global carbon neutrality,3
6357,planting initiatives,3
8923,operations,3
14418,refuse collection,3
4247,emissions estimates,3
15126,annual update,3
4793,options appraisal,3
1608,change framework,3
13287,london councils,3
1591,borough councils,3
8491,emissions actions,3
585,international food production,3
7555,sustainable travel choices,3
12112,local ity level,3
5884,driver training,3
588,council asset,3
7971,physical science basis,3
7030,current carbon,3
11137,vertebrates,3
4630,uk temperatures,3
3097,fact,3
5705,climate partnership,3
7920,annual reductions,3
11795,change summit,3
4794,healthy lifestyles,3
584,essential infrastructure,3
1588,increase woodland,3
8498,risk assessments,3
6514,carbon projects,3
11826,global temperature rise,3
4918,term impact,3
390,science policy,3
10091,new council plan,3
11872,limited resources,3
5658,coastal communities,3
2790,services emissions,3
2897,net negative,3
2896,respiratory diseases,3
4194,year lag,3
15407,industrial buildings,3
2891,local outcomes,3
15305,waste collection,3
7204,reporting governance,3
9025,net emissions,3
5631,governance,3
8601,environmental,3
14095,wider benefits,3
1895,increase use,3
15331,priority themes,3
2794,edinburgh climate,3
2036,ecological emergency action,3
15400,just transition,3
14215,solar photovoltaic panels,3
2909,council resolution,3
7760,plots,3
1840,wider district,3
9038,improve insulation,3
1842,improvements,3
7773,wider environment,3
7772,water saving,3
1846,england,3
5984,contributions,3
12698,energy advice,3
10598,council consumption,3
9652,engagement,3
3943,scientific evidence,3
7766,environmental assessment act,3
1861,action,3
399,change sustainability,3
6527,kent environment strategy,3
4927,storm surges,3
4860,enable change,3
2034,reduction initiatives,3
8653,start,3
2798,encourage energy,3
3923,healthier diets,3
4180,scottish government target,3
6161,community partnership,3
6537,environmental standards,3
2848,natural habitats,3
325,council footprint,3
1963,natural processes,3
1964,secure funding,3
5963,pandemic recovery,3
8990,funding bids,3
324,swimming pool,3
13495,change goals,3
9711,local community groups,3
5641,reporting process,3
2840,organisational basis,3
15381,capital programme,3
1976,norfolk district,3
1977,emissions priority,3
11321,require action,3
10748,milder winters,3
1984,additional comments,3
7166,energy partnership,3
12458,travel behaviour,3
8624,evolving,3
2800,renewable technologies,3
356,cycle routes,3
9735,installations,3
12443,strategic flood risk,3
354,active transport,3
352,lower carbon footprint,3
11066,improved health,3
7155,emission savings,3
296,scrutiny committee,3
13455,context climate,3
1927,increase cycling,3
1932,plan scope,3
4902,change team,3
10618,impact,3
2016,dedicated climate change,3
346,next,3
4549,council scrutiny,3
2809,priority area,3
10910,carbon vehicles,3
10102,welcome,3
9727,neutral pathway,3
11060,statutory powers,3
11059,council greenhouse,3
4600,borough land,3
1740,affordable warmth,3
4504,suffolk,3
10764,carbon capture,3
12734,energy provision,3
15252,yields,3
4958,decrease,3
12466,other sectors,3
9065,kent,3
1737,inclusive growth concept,3
7828,charging,3
231,threshold,3
7623,evidence,3
15302,social housing,3
15258,protect,3
14043,net carbon dioxide,3
9618,change behaviours,3
6198,new build housing,3
7822,local solutions,3
15259,furthermore,3
9063,priority list,3
12728,sustainable carbon,3
3814,trajectories,3
1755,stirling council,3
5681,recycling facilities,3
1720,area emissions,3
10276,way,3
6146,detailed carbon,3
2139,recycling service,3
3029,national carbon reduction,3
15226,long term,3
3027,sustainable choices,3
10202,global national,3
4828,comprehensive,3
15230,review process,3
7857,site electricity,3
9082,sustainable living,3
12747,energy transition,3
13563,current trajectory,3
7851,inclusive transition,3
10070,heat buildings,3
4499,message,3
8943,affordable energy,3
1710,biodiversity strategy,3
9602,agreement,3
223,resilient city,3
7843,local priorities,3
8689,severity,3
7230,ecological,3
9621,midlands,3
4518,flexible approach,3
5625,protecting,3
443,energy security,3
1805,strategic framework,3
4520,year action,3
11855,parking levy,3
12188,staff engagement,3
5410,alternative options,3
12130,priority climate,3
12432,scopes,3
3846,progress updates,3
5413,natural resources,3
2943,council purchases,3
11329,emission vehicles,3
13403,vegetation,3
15301,home insulation,3
2773,tree policy,3
13530,funding options,3
11437,carbon targets,3
10585,path,3
3956,potential impacts,3
12427,green flag awards,3
2754,sets,3
11433,tree council,3
7812,sector energy,3
4512,lower risks,3
1773,reports,3
10174,foreword climate,3
2758,resilience plan,3
14280,footprint baseline,3
10171,poverty,3
1784,heat stress,3
7637,uk ambition,3
15275,renew,3
7800,together,3
13390,recent data,3
15278,powers,3
14269,future,3
7539,dengue fever,3
7550,carbon net,3
14531,low emissions strategy,3
8163,domestic sectors,3
11384,hybrid vehicles,3
6323,optimistic assessment,3
6068,generate,3
2543,baseline carbon emissions,3
10366,energy efficiencies,3
5547,emergency motion,3
8165,sustainability issues,3
4731,plan framework,3
1168,areas energy,3
33,warwick district,3
4671,vehicle charge,3
3587,devon climate emergency,3
847,increase awareness,3
1173,additional resource,3
12063,ambitious action,3
1175,reflects,3
12900,become,3
12364,particulate matter,3
839,infrastructure,3
12301,scottish borders council,3
14761,council strategy,3
7371,implementation,3
9342,food waste,3
6446,reduce fuel,3
875,undertake feasibility,3
11669,energy climate,3
4724,transport priority,3
12524,council building,3
10380,analyse,3
14777,lower carbon,3
12059,waste transport,3
1134,neutral future,3
