,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
  reduction,  reduction,reduction  ,reduction target,  reduce,  increase,emission reduction,carbon reduction,reduce emission,emission  ,  emission,change  ,reduce energy,emergency action,reduce carbon,net zero,change action,change strategy,zero emission,zero  ,action  ,  action,carbon management,low carbon,carbon emission,ghg emission,  carbon,target  ,  target,carbon neutrality,carbon budget,gas emission,zero carbon,action plan,carbon neutral,appendix  ,section  ,carbon footprint,change climate,   ,figure  ,sustainable development,greenhouse gas,energy efficiency,strategy action,scope  ,  scope,energy use,carbon dioxide,management plan,  energy,energy  ,climate change,fuel poverty,strategy  ,  support,emission council,long term,climate action,climate emergency,global warming,achieve net,transport  ,  tonne,renewable energy,  work,active travel,land use,impact climate,energy efficient,natural environment,plan  ,tackle climate,fossil fuel,air quality,council climate,green space,  climate,page  ,public sector,building  ,local plan,council carbon,electric vehicle,march  ,  xc,   xc,xc  ,  year,year  ,declare climate,public transport,work partner,district council,local authority,council building,council  ,  council,borough council,city council,county council
  scope,scope  ,  scope,  target,target  ,figure  ,net zero,achieve net,action plan,management plan,section  ,   ,long term,action  ,  action,reduction target,zero  ,  energy,energy  ,appendix  ,emergency action,plan  ,strategy action,strategy  ,  reduce,  support,  reduction,reduction  ,zero emission,page  ,  increase,energy use,transport  ,  emission,emission  ,  tonne,local authority,emission council,land use,green space,change strategy,change action,local plan,reduce energy,   xc,xc  ,  xc,carbon neutrality,ghg emission,council carbon,  carbon,energy efficient,zero carbon,energy efficiency,  work,public sector,council  ,  council,natural environment,air quality,carbon management,active travel,change  ,carbon budget,low carbon,reduce emission,district council,carbon neutral,council building,gas emission,declare climate,electric vehicle,march  ,carbon footprint,council climate,greenhouse gas,emission reduction,public transport,carbon dioxide,reduce carbon,building  ,fuel poverty,carbon emission,renewable energy,sustainable development,tackle climate,carbon reduction,borough council,fossil fuel,work partner,climate emergency,impact climate,  climate,change climate,city council,global warming,county council,climate action,climate change,year  ,  year
  support,  support,  action,action  ,work partner,action plan,strategy action,emergency action,management plan,strategy  ,transport  ,  energy,energy  ,  work,scope  ,  scope,   ,figure  ,public sector,reduction  ,  reduction,energy use,carbon budget,fuel poverty,achieve net,reduction target,energy efficient,local authority,zero  ,energy efficiency,target  ,  target,appendix  ,section  ,net zero,plan  ,building  ,sustainable development,council  ,  council,long term,land use,  increase,local plan,  reduce,  tonne,active travel,reduce energy,zero emission,public transport,council climate,emission council,district council,air quality,council building,emission  ,  emission,change strategy,carbon neutrality,march  ,electric vehicle,council carbon,low carbon,carbon management,climate emergency,renewable energy,emission reduction,change action,zero carbon,greenhouse gas,ghg emission,city council,natural environment,change  ,  carbon,  climate,borough council,carbon neutral,page  ,carbon reduction,  xc,   xc,xc  ,gas emission,climate action,fossil fuel,carbon dioxide,county council,reduce emission,carbon footprint,reduce carbon,carbon emission,declare climate,global warming,climate change,tackle climate,change climate,green space,impact climate,year  ,  year
  target,  target,target  ,  scope,scope  ,reduction target,action plan,strategy  ,figure  ,strategy action,net zero,  action,action  ,plan  ,   ,  emission,emission  ,management plan,reduction  ,  reduction,achieve net,zero  ,appendix  ,emergency action,change strategy,  carbon,  energy,energy  ,  reduce,section  ,emission council,zero emission,page  ,change action,carbon footprint,greenhouse gas,energy use,   xc,xc  ,  xc,gas emission,transport  ,  support,emission reduction,long term,work partner,carbon neutral,carbon neutrality,zero carbon,carbon management,  work,reduce energy,low carbon,local plan,carbon budget,land use,green space,change  ,carbon emission,reduce emission,council carbon,  tonne,fossil fuel,carbon reduction,energy efficient,energy efficiency,ghg emission,carbon dioxide,fuel poverty,active travel,  increase,electric vehicle,reduce carbon,public sector,building  ,local authority,air quality,natural environment,march  ,district council,renewable energy,council climate,  council,council  ,sustainable development,  year,year  ,climate emergency,council building,change climate,declare climate,global warming,public transport,climate action,  climate,borough council,climate change,impact climate,tackle climate,city council,county council
  tonne,  tonne,   ,  xc,   xc,xc  ,appendix  ,figure  ,net zero,zero  ,energy  ,  energy,  carbon,council carbon,green space,page  ,ghg emission,section  ,emission council,greenhouse gas,carbon dioxide,zero carbon,fuel poverty,council building,building  ,carbon budget,scope  ,  scope,emission  ,  emission,gas emission,transport  ,fossil fuel,public sector,low carbon,council  ,  council,emergency action,electric vehicle,zero emission,air quality,action plan,council climate,  reduction,reduction  ,local authority,energy use,energy efficient,carbon neutral,  work,long term,renewable energy,carbon neutrality,public transport,borough council,energy efficiency,year  ,  year,carbon emission,local plan,district council,action  ,  action,target  ,  target,march  ,carbon footprint,change  ,management plan,emission reduction,reduction target,carbon management,  support,city council,  increase,climate emergency,  climate,plan  ,natural environment,carbon reduction,strategy  ,county council,global warming,land use,achieve net,reduce energy,work partner,active travel,climate change,strategy action,change climate,  reduce,reduce carbon,climate action,sustainable development,reduce emission,change strategy,change action,impact climate,declare climate,tackle climate
  work,  work,work partner,action  ,  action,action plan,   ,figure  ,building  ,public sector,management plan,  support,land use,strategy  ,energy use,plan  ,  energy,energy  ,change  ,strategy action,energy efficiency,energy efficient,long term,transport  ,emergency action,march  ,change strategy,carbon budget,change action,section  ,  reduction,reduction  ,sustainable development,  target,target  ,  tonne,fuel poverty,scope  ,  scope,local plan,local authority,reduction target,achieve net,zero  ,reduce energy,net zero,natural environment,page  ,active travel,  reduce,appendix  ,council building,emission council,city council,council carbon,public transport,carbon management,  council,council  ,renewable energy,electric vehicle,  emission,emission  ,  carbon,district council,  increase,council climate,green space,air quality,carbon footprint,fossil fuel,  year,year  ,borough council,emission reduction,xc  ,   xc,  xc,zero carbon,county council,carbon neutrality,zero emission,carbon dioxide,carbon reduction,carbon emission,low carbon,reduce carbon,carbon neutral,reduce emission,gas emission,tackle climate,greenhouse gas,change climate,ghg emission,  climate,climate emergency,climate action,declare climate,climate change,global warming,impact climate
  xc,xc  ,   xc,  xc,   ,  tonne,zero  ,net zero,council carbon,page  ,  carbon,emission council,appendix  ,section  ,year  ,  year,zero carbon,action plan,green space,local authority,  target,target  ,  council,council  ,electric vehicle,figure  ,zero emission,  emission,emission  ,greenhouse gas,carbon dioxide,council building,scope  ,  scope,carbon neutral,energy  ,  energy,ghg emission,carbon neutrality,district council,management plan,borough council,gas emission,low carbon,carbon emission,council climate,emergency action,county council,fossil fuel,public sector,energy efficient,carbon management,carbon budget,plan  ,energy use,carbon footprint,city council,energy efficiency,air quality,work partner,long term,achieve net,local plan,climate emergency,change  ,emission reduction,reduction target,renewable energy,fuel poverty,building  ,natural environment,transport  ,reduction  ,  reduction,public transport,strategy  ,  action,action  ,  increase,carbon reduction,  work,  climate,  support,march  ,climate change,land use,global warming,active travel,strategy action,change climate,reduce carbon,sustainable development,  reduce,change strategy,reduce energy,change action,climate action,declare climate,reduce emission,impact climate,tackle climate
  year,  year,year  ,   ,xc  ,   xc,  xc,change  ,  tonne,page  ,action plan,  climate,long term,figure  ,change climate,management plan,section  ,natural environment,climate emergency,zero  ,climate change,march  ,carbon budget,council climate,  carbon,carbon footprint,change strategy,appendix  ,land use,emergency action,local authority,plan  ,  target,target  ,strategy  ,work partner,global warming,  work,  increase,net zero,council carbon,  reduction,reduction  ,greenhouse gas,energy use,district council,building  ,green space,emission council,local plan,reduction target,action  ,  action,energy efficiency,carbon management,energy  ,  energy,air quality,public sector,  council,council  ,carbon dioxide,strategy action,carbon reduction,carbon neutral,fuel poverty,change action,climate action,impact climate,energy efficient,low carbon,emission  ,  emission,zero carbon,declare climate,ghg emission,sustainable development,carbon emission,carbon neutrality,scope  ,  scope,council building,emission reduction,city council,borough council,county council,fossil fuel,electric vehicle,renewable energy,  support,gas emission,zero emission,reduce carbon,tackle climate,  reduce,transport  ,active travel,public transport,reduce energy,achieve net,reduce emission
achieve net,achieve net,net zero,scope  ,  scope,  reduce,reduce energy,reduction target,reduce emission,  target,target  ,  increase,plan  ,energy efficiency,reduce carbon,action plan,change strategy,figure  ,zero emission,strategy action,sustainable development,management plan,energy  ,  energy,change action,zero  ,carbon budget,  support,energy efficient,declare climate,emission reduction,tackle climate,energy use,long term,strategy  ,carbon management,emission  ,  emission,reduction  ,  reduction,carbon neutrality,zero carbon,ghg emission,  action,action  ,public sector,emission council,renewable energy,transport  ,carbon footprint,  work,carbon reduction,low carbon,greenhouse gas,carbon emission,  carbon,carbon neutral,local plan,council carbon,impact climate,gas emission,   ,emergency action,carbon dioxide,active travel,xc  ,   xc,  xc,  tonne,air quality,change climate,land use,fuel poverty,local authority,change  ,global warming,climate action,electric vehicle,green space,fossil fuel,council climate,climate change,page  ,march  ,public transport,work partner,natural environment,building  ,council building,section  ,district council,climate emergency,borough council,appendix  ,  climate,council  ,  council,city council,county council,  year,year  
action  ,  action,action  ,strategy action,emergency action,action plan,strategy  ,change action,figure  ,change strategy,  work,  support,   ,target  ,  target,plan  ,reduction  ,  reduction,  energy,energy  ,change  ,  scope,scope  ,management plan,march  ,active travel,transport  ,land use,reduction target,energy use,long term,  reduce,section  ,local plan,  increase,appendix  ,emission  ,  emission,reduce energy,achieve net,public sector,zero  ,net zero,  tonne,building  ,energy efficiency,energy efficient,natural environment,local authority,council climate,  council,council  ,sustainable development,public transport,climate action,page  ,emission council,zero emission,electric vehicle,work partner,air quality,carbon budget,fuel poverty,emission reduction,gas emission,change climate,  climate,district council,carbon management,tackle climate,xc  ,  xc,   xc,declare climate,reduce emission,  carbon,climate emergency,ghg emission,council building,green space,carbon reduction,climate change,greenhouse gas,carbon neutrality,council carbon,year  ,  year,city council,renewable energy,impact climate,carbon dioxide,global warming,reduce carbon,borough council,zero carbon,carbon neutral,carbon emission,carbon footprint,low carbon,fossil fuel,county council
action plan,action plan,management plan,plan  ,strategy action,strategy  ,local plan,emergency action,action  ,  action,change strategy,target  ,  target,change action,figure  ,section  ,reduction target,scope  ,  scope,   ,long term,  support,  work,page  ,appendix  ,local authority,change  ,council carbon,emission council,land use,  reduction,reduction  ,council climate,council  ,  council,carbon budget,district council,sustainable development,net zero,achieve net,public sector,work partner,march  ,council building,active travel,energy use,carbon management,building  ,xc  ,  xc,   xc,  energy,energy  ,transport  ,  tonne,  reduce,climate emergency,energy efficiency,zero  ,energy efficient,carbon footprint,  increase,city council,borough council,  emission,emission  ,change climate,  carbon,fuel poverty,  year,year  ,climate action,electric vehicle,emission reduction,climate change,reduce energy,carbon neutrality,public transport,county council,declare climate,natural environment,carbon reduction,greenhouse gas,renewable energy,green space,tackle climate,carbon neutral,zero emission,global warming,zero carbon,fossil fuel,ghg emission,gas emission,low carbon,  climate,carbon emission,impact climate,reduce carbon,reduce emission,air quality,carbon dioxide
active travel,active travel,transport  ,public transport,energy use,  energy,energy  ,energy efficient,emission  ,  emission,electric vehicle,long term,  action,action  ,energy efficiency,strategy action,gas emission,emergency action,air quality,strategy  ,land use,emission reduction,ghg emission,sustainable development,renewable energy,zero emission,action plan,emission council,reduce energy,  climate,green space,climate action,global warming,carbon management,fuel poverty,carbon dioxide,natural environment,greenhouse gas,reduction target,carbon emission,management plan,  reduction,reduction  ,climate emergency,fossil fuel,change climate,change strategy,scope  ,  scope,  increase,council climate,low carbon,climate change,public sector,local plan,carbon neutrality,carbon budget,carbon reduction,target  ,  target,   ,  support,reduce emission,  work,impact climate,  carbon,carbon neutral,net zero,appendix  ,building  ,zero carbon,change action,achieve net,change  ,figure  ,march  ,local authority,zero  ,plan  ,carbon footprint,  tonne,tackle climate,reduce carbon,section  ,page  ,council carbon,declare climate,   xc,xc  ,  xc,  reduce,work partner,district council,council building,  council,council  ,borough council,city council,county council,  year,year  
air quality,air quality,  climate,ghg emission,gas emission,natural environment,carbon dioxide,energy efficient,greenhouse gas,council climate,climate emergency,energy efficiency,emission  ,  emission,energy use,zero emission,low carbon,climate action,energy  ,  energy,carbon emission,impact climate,zero carbon,emission reduction,renewable energy,carbon management,carbon neutral,carbon neutrality,public transport,change climate,transport  ,green space,emission council,global warming,  carbon,carbon footprint,climate change,fuel poverty,active travel,net zero,reduce emission,declare climate,carbon reduction,reduce energy,tackle climate,zero  ,public sector,electric vehicle,reduce carbon,land use,carbon budget,  tonne,fossil fuel,emergency action,reduction target,   ,council carbon,sustainable development,  scope,scope  ,building  ,reduction  ,  reduction,long term,appendix  ,local authority,council building,borough council,  target,target  ,  support,figure  ,local plan,  xc,xc  ,   xc,  increase,achieve net,management plan,city council,  action,action  ,  work,strategy  ,change  ,action plan,  reduce,strategy action,  year,year  ,district council,section  ,march  ,council  ,  council,page  ,county council,plan  ,change strategy,change action,work partner
appendix  ,appendix  ,section  ,  tonne,   ,page  ,emergency action,figure  ,  carbon,action plan,  reduction,reduction  ,management plan,   xc,xc  ,  xc,  scope,scope  ,  target,target  ,reduction target,council carbon,ghg emission,zero  ,greenhouse gas,net zero,emission council,emission  ,  emission,  increase,energy  ,  energy,low carbon,council building,zero carbon,green space,  action,action  ,carbon dioxide,fuel poverty,change  ,  support,energy use,carbon neutral,transport  ,  council,council  ,building  ,fossil fuel,gas emission,climate emergency,plan  ,district council,carbon budget,carbon management,carbon footprint,  reduce,council climate,public sector,zero emission,carbon emission,carbon neutrality,local plan,strategy  ,carbon reduction,strategy action,natural environment,long term,air quality,energy efficient,reduce energy,electric vehicle,local authority,march  ,  work,active travel,energy efficiency,renewable energy,emission reduction,borough council,change strategy,change action,  year,year  ,public transport,reduce carbon,land use,county council,  climate,climate change,global warming,change climate,work partner,sustainable development,reduce emission,city council,climate action,achieve net,declare climate,impact climate,tackle climate
borough council,borough council,city council,county council,district council,council building,local authority,council  ,  council,council carbon,public sector,local plan,emission council,public transport,council climate,management plan,section  ,   ,  tonne,action plan,building  ,  xc,xc  ,   xc,electric vehicle,net zero,carbon budget,zero  ,air quality,work partner,figure  ,green space,appendix  ,land use,plan  ,transport  ,emergency action,fuel poverty,page  ,  scope,scope  ,zero carbon,sustainable development,  carbon,natural environment,  work,carbon management,march  ,carbon footprint,  support,carbon neutrality,greenhouse gas,strategy  ,target  ,  target,zero emission,gas emission,energy efficient,emission  ,  emission,carbon dioxide,renewable energy,energy efficiency,strategy action,  energy,energy  ,carbon neutral,long term,action  ,  action,achieve net,climate emergency,ghg emission,carbon emission,low carbon,energy use,fossil fuel,  climate,year  ,  year,reduction  ,  reduction,climate action,global warming,emission reduction,climate change,reduction target,active travel,change  ,carbon reduction,declare climate,change climate,  increase,reduce carbon,change strategy,  reduce,impact climate,reduce emission,change action,reduce energy,tackle climate
building  ,building  ,council building,  work,long term,land use,   ,local plan,public sector,  tonne,management plan,change  ,city council,sustainable development,transport  ,action plan,plan  ,natural environment,energy efficient,green space,energy  ,  energy,figure  ,appendix  ,strategy  ,emergency action,section  ,  support,public transport,fuel poverty,local authority,borough council,air quality,  action,action  ,energy use,  council,council  ,  increase,district council,energy efficiency,carbon budget,reduction  ,  reduction,council climate,renewable energy,change strategy,active travel,target  ,  target,strategy action,march  ,work partner,scope  ,  scope,fossil fuel,council carbon,zero  ,emission council,page  ,electric vehicle,   xc,  xc,xc  ,  carbon,emission  ,  emission,carbon footprint,net zero,change action,  climate,carbon management,greenhouse gas,carbon dioxide,county council,global warming,reduction target,reduce energy,  year,year  ,climate emergency,zero carbon,achieve net,low carbon,change climate,gas emission,ghg emission,  reduce,emission reduction,climate change,carbon neutrality,climate action,carbon neutral,carbon reduction,carbon emission,zero emission,tackle climate,reduce carbon,impact climate,reduce emission,declare climate
carbon budget,carbon budget,fuel poverty,carbon footprint,carbon management,energy efficiency,carbon reduction,energy use,  carbon,carbon neutrality,public sector,renewable energy,carbon neutral,low carbon,fossil fuel,council carbon,carbon emission,sustainable development,zero carbon,greenhouse gas,emission reduction,energy efficient,carbon dioxide,reduction target,council climate,global warming,ghg emission,climate change,emission council,  energy,energy  ,management plan,reduce carbon,net zero,land use,climate action,climate emergency,gas emission,  reduction,reduction  ,natural environment,change climate,  emission,emission  ,reduce energy,zero emission,long term,action plan,electric vehicle,impact climate,  climate,local plan,  tonne,transport  ,local authority,reduce emission,achieve net,  support,public transport,zero  ,  work,air quality,emergency action,strategy  ,strategy action,appendix  ,green space,target  ,  target,   ,tackle climate,figure  ,  scope,scope  ,  increase,active travel,building  ,borough council,plan  ,work partner,  xc,xc  ,   xc,change strategy,  year,year  ,council building,city council,section  ,  reduce,declare climate,county council,district council,change  ,  action,action  ,page  ,council  ,  council,march  ,change action
carbon dioxide,carbon dioxide,greenhouse gas,carbon emission,carbon neutral,zero carbon,  carbon,gas emission,low carbon,carbon neutrality,carbon reduction,ghg emission,fossil fuel,carbon management,emission reduction,carbon footprint,renewable energy,  emission,emission  ,reduce carbon,climate action,zero emission,climate change,climate emergency,global warming,energy efficiency,energy use,reduce emission,natural environment,  climate,emission council,fuel poverty,air quality,change climate,energy efficient,impact climate,carbon budget,electric vehicle,  energy,energy  ,council climate,council carbon,reduce energy,green space,reduction target,net zero,sustainable development,  tonne,tackle climate,  reduction,reduction  ,zero  ,declare climate,public sector,transport  ,appendix  ,active travel,   ,   xc,  xc,xc  ,emergency action,public transport,land use,  target,target  ,  reduce,  increase,long term,achieve net,  scope,scope  ,change  ,figure  ,management plan,building  ,local authority,section  ,action plan,  work,  support,borough council,council building,  year,year  ,action  ,  action,change strategy,change action,work partner,page  ,strategy  ,  council,council  ,strategy action,local plan,city council,district council,march  ,county council,plan  
