"('local sustainability', 0.6021)","('better cycling', 0.3791)","('low carbon sectors', 0.3493)","('community interest', 0.3375)","('electric vehicles', 0.2983)","('active travel options', 0.2748)","('business plan', 0.224)","('adur', 0.1549)","('accessible charging points', 0.1116)","('coronavirus', 0.0722)"
"('inclusive climate assembly', 0.5796)","('public sector partners', 0.3336)","('carbon neutral', 0.3246)","('sustainableaw magazine', 0.3208)","('community activity', 0.2909)","('plan recognises', 0.236)","('interventions', 0.2161)","('heating', 0.199)","('new winter record', 0.1724)","('adur', 0.1537)"
"('climate conference', 0.5511)","('sustainableaw themes', 0.442)","('carbon neutral', 0.3625)","('local organisations', 0.3027)","('worthing', 0.222)","('potential pathways', 0.2147)","('tiny impact', 0.1787)","('crowdfunding page', 0.1683)","('ongoing engagement', 0.1613)","('post lockdown', 0.0988)"
"('first climate event', 0.6718)","('emergency declarations', 0.3179)","('programme', 0.2897)","('zero', 0.2689)","('greater brighton', 0.2461)","('local ity', 0.2069)","('assembly hall', 0.1769)","('long waiting list', 0.1589)","('delegates', 0.0553)","('see', 0.04)"
"('sustainability', 0.4359)","('workshops', 0.3571)","('sussex community', 0.3565)","('positive assembly hall', 0.3031)","('participants feedback', 0.2911)","('fair food system', 0.2603)","('nhs trust', 0.2407)","('worthing', 0.2316)","('transport behaviour', 0.1378)","('hot pool', 0.07)"
"('baseline carbon emissions', 0.5854)","('gep environmental', 0.3747)","('behavioural energy reduction', 0.3048)","('plan council', 0.2858)","('site electricity', 0.2736)","('amber valley', 0.2267)","('sequestration figures', 0.225)","('net zero', 0.2121)","('supply mixture', 0.1044)","('definitions', 0.0598)"
"('future emissions reductions', 0.5746)","('tonnes carbon', 0.383)","('councils baseline', 0.3245)","('overall resource consumption', 0.3204)","('valley borough', 0.2772)","('tree planting', 0.2484)","('net zero', 0.2299)","('property portfolio', 0.1971)","('include', 0.1458)","('behavioural change', 0.1029)"
"('national climate emergency', 0.4995)","('council recognises', 0.3759)","('carbon reduction', 0.3502)","('native trees', 0.2968)","('valley borough', 0.2793)","('uk economy', 0.2755)","('sequestration', 0.2709)","('net zero', 0.212)","('24th july amber', 0.174)","('sizeable contribution', 0.1211)"
"('environmental impacts', 0.4801)","('amber valley', 0.4134)","('river levels', 0.3638)","('milder winters', 0.2716)","('council approach', 0.2471)","('natural temperature', 0.2054)","('report net', 0.1967)","('uk faces', 0.1808)","('earlier migration', 0.131)","('significant moves', 0.0801)"
"('total carbon footprint', 0.5777)","('emissions element', 0.4501)","('natural gas council', 0.3919)","('assessment scope', 0.2673)","('vehicles employee', 0.2395)","('transport electricity', 0.231)","('valley borough', 0.2054)","('activity data', 0.1921)","('include', 0.1895)","('small hgvs', 0.0947)"
"('emissions reduction', 0.6217)","('council buildings', 0.3949)","('total baseline greenhouse', 0.3384)","('potential savings potential', 0.2849)","('utility', 0.2819)","('grey fleet mileage', 0.23)","('technology measure', 0.1966)","('employee travel', 0.1687)","('valley borough', 0.1476)","('initial energy', 0.0897)"
"('angus stakeholders', 0.5499)","('sustainable development', 0.4824)","('climate emergency', 0.4457)","('urban foresight', 0.4285)","('reduce carbon', 0.3685)","('council recognises', 0.3171)","('land use', 0.3095)","('energy transport', 0.2341)","('net zero', 0.207)","('key sectors', 0.1849)"
"('climate action', 0.4484)","('urban foresight governance', 0.4147)","('secap', 0.3185)","('baseline emissions', 0.2995)","('buildings energy', 0.2795)","('vulnerability assessment', 0.2677)","('definition carbon', 0.2185)","('review process', 0.1342)","('28th april scotland', 0.134)","('appendices', 0.0272)"
"('scottish government climate', 0.5529)","('global carbon budget', 0.5143)","('sustainable development goals', 0.5038)","('energy efficiency', 0.3177)","('change paris', 0.3002)","('ipcc special', 0.2496)","('reduction', 0.2281)","('framework', 0.1799)","('mobility sector', 0.1774)","('key targets', 0.1644)"
"('ready scotland climate', 0.5701)","('sustainable development goals', 0.4396)","('angus council', 0.366)","('reduce carbon', 0.3622)","('urban foresight', 0.3561)","('national transport strategy', 0.3077)","('covid pandemic', 0.294)","('inclusive economy', 0.2817)","('green', 0.2659)","('change duties', 0.2626)"
"('angus council', 0.5282)","('recycling programme', 0.4255)","('public bodies climate', 0.3955)","('natural flood management', 0.3579)","('peatland restoration', 0.3079)","('renewable technologies', 0.2982)","('park ity', 0.1976)","('street lighting', 0.1728)","('change targets', 0.1553)","('interdependent aspects', 0.129)"
"('sustainable development goals', 0.6122)","('change mitigation', 0.4239)","('climate system', 0.3969)","('core principles', 0.3577)","('ongoing action', 0.2546)","('own council', 0.2423)","('angus', 0.1885)","('low income communities', 0.1557)","('definition', 0.131)","('generational timescale', 0.0991)"
"('local communities climate', 0.6667)","('right climate actions', 0.578)","('sustainability', 0.4596)","('poverty', 0.3665)","('social consensus', 0.3542)","('close partnership', 0.2881)","('pathways', 0.2405)","('dialogue', 0.2095)","('factor', 0.1158)","('offer', 0.0902)"
"('angus council plan', 0.5359)","('public bodies climate', 0.4545)","('policy documents', 0.3384)","('change duties', 0.3331)","('sustainable procurement', 0.3025)","('greenhouse gas', 0.2922)","('reporting body', 0.2327)","('corporate risk register', 0.1882)","('mandatory topics profile', 0.1507)","('wider impact', 0.1081)"
"('carbon emissions', 0.4373)","('sustainable procurement plan', 0.4257)","('natural flood management', 0.4008)","('scottish governments', 0.3645)","('woodland expansion', 0.2933)","('salix recycling', 0.276)","('street lighting', 0.247)","('adaptation adaptation', 0.2081)","('modelling tools', 0.1962)","('other service priority', 0.1443)"
"('angus council climate', 0.5928)","('scottish government', 0.4764)","('public bodies duty', 0.3528)","('gas emissions', 0.3408)","('improvement plan', 0.3247)","('local outcomes', 0.2341)","('active travel', 0.2054)","('circular economy', 0.164)","('appendices', 0.1414)","('backilogramround papers', 0.092)"
"('council climate', 0.5259)","('reduce carbon', 0.4032)","('global issue foundations', 0.3746)","('partnership', 0.3059)","('decarbonisation plan', 0.2978)","('agriculture forestry', 0.259)","('great change', 0.204)","('windturbine glengorm', 0.1909)","('sucessful implementation', 0.1881)","('consumption transport', 0.1788)"
"('council climate', 0.4826)","('scottish government', 0.4227)","('low carbon economy', 0.3639)","('decarbonisation plan', 0.3409)","('impacts', 0.266)","('requirements', 0.2303)","('continue', 0.2166)","('solar photovoltaic', 0.1934)","('change board', 0.162)","('routemap', 0.1568)"
"('tackling climate', 0.4977)","('scottish government', 0.4757)","('inhabited islands', 0.3187)","('development projects', 0.2803)","('rural ccrd', 0.254)","('change reporting', 0.2516)","('decarbonisation', 0.2412)","('plan addresses', 0.1715)","('power capacity', 0.1326)","('evolve', 0.109)"
"('reduce emissions', 0.5156)","('municipal waste', 0.4022)","('resource plan', 0.3366)","('argyll', 0.3257)","('peatland restoration', 0.3027)","('decarbonise', 0.2787)","('bin lorries', 0.231)","('future weather', 0.1991)","('contributor', 0.1926)","('change board', 0.1158)"
"('waste reduce', 0.5832)","('scottish governments', 0.4281)","('transport emissions', 0.4136)","('renewable energy', 0.3965)","('council greenhouse', 0.3562)","('circular economy', 0.3301)","('behavioural change', 0.178)","('bute', 0.1699)","('building users', 0.1592)","('significant', 0.1205)"
"('waste reduction', 0.5765)","('local reuse charities', 0.3908)","('council use', 0.389)","('catering schools', 0.3358)","('soil association', 0.3126)","('compliance', 0.2378)","('argyll', 0.1955)","('efw bute', 0.1935)","('order app', 0.0875)","('regular refreshes', 0.0151)"
"('planning policy', 0.4983)","('sustainable energy', 0.4293)","('joint stakeholder initiatives', 0.3917)","('climate emergency', 0.3692)","('consultancy resources', 0.3366)","('achieve carbon', 0.3218)","('arun', 0.294)","('developments', 0.2875)","('part report', 0.2607)","('efficiency standards', 0.2299)"
"('catchment flood management', 0.4246)","('green infrastructure', 0.4161)","('address climate', 0.3513)","('change policy', 0.3367)","('dmwaste management', 0.3217)","('supplementary planning document', 0.32)","('carbon energy', 0.2867)","('site disposal', 0.2423)","('sized developments', 0.1975)","('exceptions test', 0.0009)"
"('national planning policy', 0.4996)","('possible sustainability measures', 0.4978)","('decentralised energy supply', 0.4336)","('climate change', 0.4246)","('provision', 0.3621)","('achieve carbon', 0.348)","('nppf changes', 0.3437)","('minimise vulnerability', 0.2871)","('key requirements', 0.2577)","('potential heat customers', 0.219)"
"('budget provision', 0.484)","('sustainable design standards', 0.422)","('local plan review', 0.4129)","('development management', 0.3291)","('commissioning', 0.3172)","('arun district', 0.3019)","('carbon targets', 0.2549)","('evidence preparation', 0.2395)","('portsmouth climate', 0.204)","('motion', 0.1044)"
"('full council guidance', 0.4197)","('current building regulations', 0.4088)","('renewable energy target', 0.375)","('city climate', 0.3368)","('efficiency measures', 0.2829)","('change emergency', 0.2536)","('major developments', 0.251)","('domestic storage facilities', 0.2291)","('dmecc spand', 0.226)","('merton carbon', 0.2218)"
"('tree planting', 0.4081)","('waste planning', 0.3956)","('flooding impact', 0.3457)","('policy env', 0.3346)","('development typology', 0.3279)","('net biodiversity gain', 0.3277)","('council', 0.3056)","('year climate', 0.2924)","('suds design', 0.1213)","('exceptions tests', 0.0728)"
"('council policies', 0.5342)","('supplementary planning document', 0.4187)","('development standards', 0.3935)","('arun', 0.3531)","('sustainable design', 0.3334)","('impact assessment', 0.2845)","('property land', 0.2549)","('change', 0.1677)","('heat recovery', 0.1589)","('severe rainfall', 0.1183)"
"('energy agency', 0.4485)","('climate change', 0.4286)","('appropriate council asset', 0.4022)","('flooding', 0.381)","('arun', 0.3548)","('change emergency', 0.3345)","('carbon neutral', 0.3181)","('community retrofit', 0.2498)","('rigorous standards', 0.2225)","('prevention', 0.1956)"
"('reduce emissions', 0.586)","('council decision', 0.4)","('foreword foreword', 0.2841)","('kent resilience forum', 0.2747)","('circular economy', 0.2559)","('beautiful countryside', 0.2426)","('understanding', 0.2209)","('net zero', 0.1898)","('weather events', 0.1645)","('pimpact', 0.0991)"
"('environmental footprint', 0.5052)","('renewable energy generation', 0.3294)","('transport priority', 0.2829)","('plan consultation', 0.2563)","('equitable recovery', 0.2527)","('xfuture development', 0.2207)","('increase', 0.2009)","('pathway report', 0.1928)","('neutral action', 0.1769)","('weather events', 0.1039)"
"('environmental concerns carbon', 0.4684)","('individual eco certification', 0.4027)","('neutral agenda green', 0.4022)","('organisation thinking', 0.3631)","('specific priority areas', 0.3518)","('raise awareness', 0.3248)","('other training actions', 0.2946)","('residents survey', 0.2748)","('reduce', 0.2341)","('invitations', 0.1271)"
"('sustainability carbon', 0.4983)","('councils', 0.4139)","('gardening', 0.3556)","('exemplar communities', 0.321)","('making processes', 0.2774)","('kent plan', 0.2757)","('engaging', 0.2354)","('strategic documents', 0.2081)","('flag status', 0.1765)","('good practice mof', 0.1701)"
"('policies carbon', 0.5519)","('update council', 0.4026)","('neutral buildings decision', 0.3402)","('high risk parishes', 0.3279)","('kent resilience forum', 0.2901)","('reduction measures', 0.2728)","('requirements', 0.2293)","('flooding regularise', 0.1899)","('lower energy input', 0.18)","('offset scheme', 0.0826)"
"('carbon savings', 0.4427)","('feasibility studies', 0.383)","('change task', 0.3201)","('indicative costs', 0.3076)","('environment resource', 0.2701)","('full council meetings', 0.2665)","('viability cabinet', 0.2058)","('defines', 0.1939)","('additional comments', 0.163)","('suffolk', 0.1329)"
"('renewable energy', 0.4716)","('initial feasibility msdc', 0.396)","('consultati suffolk', 0.288)","('only qtr land', 0.2738)","('carbon timescale', 0.2517)","('live timber imports', 0.2502)","('consider', 0.2327)","('internal groundwork governance', 0.2292)","('ad environment', 0.2223)","('change task', 0.1555)"
"('housing strategy', 0.4223)","('specification', 0.3351)","('cost carbon', 0.2922)","('change task', 0.2903)","('adaption qtr', 0.2745)","('external funding opportunities', 0.2731)","('climate emergency', 0.2717)","('passive ad', 0.2487)","('amendment council', 0.2475)","('suffolk', 0.1291)"
"('development proposals', 0.4408)","('sustainable climate', 0.4041)","('change task', 0.2955)","('carbon timescale', 0.2674)","('suffolk waste', 0.2425)","('qtr ad', 0.2285)","('low enabling', 0.1664)","('viability cabinet', 0.1585)","('originator cost', 0.0802)","('electric vehicle charging', 0.0544)"
"('sustainable energy action', 0.5652)","('carbon programme', 0.5476)","('development goals', 0.397)","('intergovernmental panel', 0.3307)","('structure september', 0.254)","('ipcc recommendations', 0.2389)","('definitions', 0.2104)","('first borough', 0.1972)","('tonnes', 0.16)","('offsetting', 0.0839)"
"('reduce emissions', 0.5763)","('borough carbon', 0.4914)","('legislation', 0.377)","('barnsley council', 0.3426)","('energy', 0.3241)","('local contribution', 0.3064)","('dependency', 0.2513)","('financial incentives', 0.25)","('aims', 0.2406)","('coronavirus', 0.079)"
"('stakeholders', 0.5052)","('recent barnsley engagement', 0.3825)","('renewable electricity', 0.3229)","('reporting process', 0.2576)","('zeroprogrammes', 0.2425)","('reflect', 0.2165)","('embed carbon reduction', 0.2069)","('metrodome leisure', 0.2021)","('local action help', 0.1802)","('arrangements', 0.1568)"
"('climate agenda', 0.5103)","('achieve carbon', 0.3486)","('zeroand zerotargets', 0.3176)","('consultation', 0.3059)","('blue infrastructure', 0.294)","('delivering', 0.2445)","('nz scr', 0.2416)","('barnsley', 0.2067)","('lifelong learning', 0.1997)","('accreditation methodology', 0.1686)"
"('specific renewables projects', 0.5956)","('uk energy', 0.4928)","('barnsley residents', 0.2797)","('hybrid vehicles', 0.2651)","('domestic properties', 0.2563)","('seap programme', 0.2043)","('transport transport', 0.1986)","('key objective', 0.1841)","('retrofit', 0.1698)","('provide', 0.1395)"
"('carbon objectives', 0.5628)","('circular economy programme', 0.4143)","('uk heat', 0.4011)","('efficient uk advisory', 0.383)","('new developments', 0.2538)","('zeroreduction', 0.2125)","('provide', 0.2021)","('definitions', 0.191)","('local bus service', 0.1886)","('human activities', 0.1831)"
"('councils emissions', 0.5685)","('net zero', 0.3136)","('different targets', 0.2861)","('energy strategy', 0.2696)","('dioxide equivalent', 0.2674)","('solid waste disposal', 0.2552)","('total fig barnsley', 0.2423)","('global temperature', 0.2158)","('definitions', 0.212)","('wider borough', 0.209)"
"('council climate', 0.5674)","('sustainable forms', 0.3825)","('barrow borough', 0.3651)","('enhance biodiversity', 0.314)","('carbon energy', 0.2988)","('reduction', 0.2512)","('worst impacts', 0.2379)","('change emergency', 0.2172)","('surface water', 0.1594)","('strategic functions', 0.0431)"
"('carbon footprinting', 0.5338)","('barrow borough councils', 0.4435)","('net zero', 0.3188)","('emission', 0.285)","('reductions', 0.2795)","('change agreement', 0.2765)","('housing improvements', 0.2493)","('paris climate', 0.2207)","('ambition', 0.1672)","('review', 0.1543)"
"('reduce emissions', 0.5491)","('sustainable transport planning', 0.479)","('housing renewal', 0.4016)","('energy generating', 0.3193)","('change policy', 0.3111)","('local economy', 0.3043)","('insulation', 0.2704)","('walking', 0.21)","('comprehensive approach', 0.21)","('measures', 0.2049)"
"('sector emissions', 0.5803)","('cumbrian waste collection', 0.5157)","('global deforestation', 0.4199)","('carbon capture', 0.4065)","('reduction', 0.3055)","('electric vehicle charging', 0.2694)","('borough land', 0.2175)","('management strategy', 0.1669)","('estuaries', 0.1282)","('ity', 0.0538)"
"('emissions reductions', 0.537)","('change policy', 0.3607)","('emergency declaration', 0.293)","('working group', 0.2817)","('possible funding sources', 0.2589)","('available modelling techniques', 0.2308)","('cumbria county', 0.2009)","('local ity climate', 0.1924)","('live document', 0.1832)","('critical feedback', 0.1736)"
"('climate commitments', 0.559)","('uk greenhouse', 0.5031)","('change policy', 0.3247)","('degrees celcius', 0.2702)","('other organisations', 0.2678)","('reduce', 0.1978)","('dandchapter27andclang en', 0.1692)","('ipcc special', 0.1622)","('electric vehicle life', 0.1227)","('barrow borough', 0.1215)"
